,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01
Atlanta Hawks,5,6,4,2,2,3,4,3,2,4,6,5,4,6,4,4,2,3,4,4,2,6,5,5,5,4,3,3,2,2,3,2,2,3,5,5,4,5,4,2,2,4,3,2,1,4,5,5,4,5,4,7,5,1,2,2,2,3,6,6,4,4,5,6,5,2,2,1,2,3,6,6,6,5,5,6,5,2,4,2,2,4,6,5,5,5,6,8,9,2,1,2,1,1,1,6,8,6,6,6,5,2,6,2,2,4,6,5,6,5,5,5,3,4,6,2,2,4,6,6,6,5,6,12,6,3,5,3,6,4,7,10,24,20,15,21,42,7,6,3,3,8,11,9,8,9,9,15,10,6,9,4,3,7,12,9,11,9,9,14,4,5,7,3,3,7,8,7,6,6,6,4,5,6,7,4,3,9,9,7,8,8,9,5,4,9,6,3,3,9,9
Boston Celtics,9,10,9,8,5,7,5,7,5,8,10,9,8,9,11,10,9,5,6,5,4,7,10,8,9,7,7,5,3,6,5,4,4,8,11,10,7,8,6,5,4,6,8,13,6,11,23,19,15,13,14,14,35,57,10,6,6,11,13,18,14,15,13,16,25,7,7,6,5,12,14,13,12,13,10,14,40,51,12,12,9,21,23,25,22,27,24,30,29,10,6,5,5,5,6,22,18,16,16,18,37,42,18,10,9,17,17,15,17,19,16,19,12,15,13,7,6,10,14,13,13,10,10,7,6,10,10,6,5,8,12,12,11,10,12,18,6,9,10,6,5,10,12,16,11,16,13,23,8,15,24,9,7,12,14,15,16,25,20,38,70,25,28,21,15,34,53,39,33,32,27,40,100,19,19,11,11,23,25,26,25,26,25,33,29,24,23,9,8,18,29
Brooklyn Nets,5,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,1,1,1,8,15,8,23,9,14,19,22,20,13,11,8,12,7,9,12,6,5,11,14,12,12,9,10,16,22,3,4,3,3,5,8,9,7,5,5,11,3,2,3,2,2,5,6,6,6,5,5,3,2,3,6,3,3,7,7,7,6,6,7,4,2,4,6,4,3,9,6,7,6,5,5,3,2,3,4,2,2,5,7,7,8,8,8,14,3,11,16,5,6,13,13
Charlotte Hornets,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,2,2,1,1,1,2,5,2,2,1,3,5,8,9,4,3,8,10,8,7,5,6,4,2,5,5,2,2,6,10,11,8,8,9,16,5,4,4,2,2,4,7,6,6,6,5,3,2,5,4,3,3,6,7,7,6,6,5,4,3,4,5,2,3,6,7,7,6,7,6,4,2,5,4,2,2,5,6
Chicago Bulls,17,16,11,9,9,11,8,8,7,11,12,15,19,16,15,20,12,8,7,7,7,12,15,15,13,12,10,15,12,10,14,8,8,13,16,16,14,14,12,18,18,10,9,6,6,12,14,15,12,12,10,8,9,10,7,6,6,11,12,12,10,13,11,19,14,8,7,5,7,11,11,12,11,14,10,15,11,14,29,13,12,16,20,23,22,25,33,48,78,19,11,10,9,10,12,41,45,36,40,42,28,21,25,18,15,21,26,28,30,30,31,35,51,22,23,17,16,34,35,31,29,27,31,39,18,25,37,19,16,29,43,42,41,33,30,48,63,22,18,14,15,27,37,38,37,31,30,27,15,22,35,18,15,26,34,32,30,30,25,44,13,20,16,10,12,21,20,25,24,21,15,12,12,16,18,10,9,17,18,20,17,17,16,12,11,17,16,9,14,17,19
Cleveland Cavaliers,2,2,3,1,1,1,1,1,0,1,3,3,2,3,3,2,1,1,2,1,1,2,3,2,2,2,2,2,4,1,1,1,1,2,3,2,2,2,2,2,3,6,1,1,1,1,2,2,2,3,2,2,3,1,1,1,1,2,3,4,4,4,4,5,9,3,3,2,2,4,4,5,5,6,5,6,7,2,10,2,1,2,2,3,3,3,2,1,1,2,1,0,0,0,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,2,3,1,1,2,3,3,3,3,3,2,2,3,16,9,5,11,16,14,14,13,13,14,31,36,7,5,4,7,12,14,15,12,11,13,28,49,11,5,4,11,17,16,18,18,17,20,29,33,12,9,10,23,23,24,24,31,19,30,47,26,5,2,2,5,5,4,3,3,3,2,2,3,2,1,1,2,3
Dallas Mavericks,5,5,3,5,2,2,3,2,2,3,5,4,4,4,4,5,9,2,1,2,1,3,4,4,3,4,4,4,13,18,2,1,1,3,5,5,6,5,6,8,5,1,1,1,2,3,4,3,3,5,4,5,2,1,1,1,1,2,3,3,2,3,2,5,4,1,2,1,1,2,3,3,3,3,3,5,1,1,2,1,1,2,4,5,4,4,4,6,23,38,3,2,2,1,1,9,7,6,5,5,4,3,5,2,2,4,5,4,4,4,4,3,2,2,5,2,1,3,5,4,4,4,4,8,5,2,5,2,2,4,6,8,6,6,5,8,2,2,6,2,2,3,6,5,6,4,5,8,2,3,6,2,2,3,4,4,4,6,5,3,2,3,4,2,2,4,4,4,4,5,3,2,2,5,4,2,2,5,6,8,8,9,6,4,2,4,6,2,2,6,10
Denver Nuggets,4,3,3,5,2,1,2,1,1,2,4,3,3,3,3,5,2,1,1,1,1,2,4,3,3,3,2,3,1,1,1,1,1,2,3,10,7,4,3,5,2,1,1,1,1,3,4,4,3,4,4,5,1,1,1,1,1,2,4,3,3,2,2,5,14,2,1,1,1,3,4,4,3,4,3,5,1,1,2,1,1,2,3,3,3,4,4,5,1,1,1,1,1,1,1,4,4,4,3,3,5,1,1,2,1,3,3,3,3,3,5,6,2,2,2,1,1,2,3,3,3,2,2,2,1,1,1,1,1,2,3,3,2,2,2,1,1,2,1,1,1,2,3,2,3,2,2,1,1,1,2,1,1,2,3,2,3,4,3,2,1,2,2,1,1,3,3,3,3,4,3,4,1,2,2,1,1,4,5,6,7,6,6,12,12,2,2,1,1,4,5
Detroit Pistons,3,3,3,4,8,24,4,3,2,3,12,5,4,3,4,4,8,14,3,2,2,3,6,6,10,6,5,6,12,4,2,1,1,3,3,3,3,3,3,4,7,3,2,1,1,2,3,3,3,3,3,4,7,3,2,1,1,2,5,3,3,2,2,2,1,2,3,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,1,1,1,3,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,4,2,1,2,3,3,2,3,2,2,2,2,3,1,1,2,3,3,5,4,2,2,1,2,3,1,1,3,5,4,4,4,4,7,2,2,3,1,1,3,4,4,3,4,3,2,2,3,3,2,1,4,6,5,6,7,4,2,2,3,3,1,1,4,4,5,4,5,5,7,2,3,5,2,2,4,4
Golden State Warriors,3,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,3,3,2,2,2,1,1,1,1,1,1,2,3,2,2,2,2,7,10,1,2,1,1,2,3,4,3,3,3,2,1,1,2,1,1,2,3,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,3,1,1,3,4,3,3,3,2,2,1,2,1,1,1,1,1,5,4,3,4,2,2,2,2,1,1,2,3,4,4,5,4,7,13,2,4,2,1,3,6,5,5,5,4,9,5,2,3,2,2,3,7,11,10,8,9,16,39,58,4,3,3,7,33,54,33,31,42,63,91,100,16,6,5,17,31,32,29,26,27,30,38,59,10,5,6,22,25,24,25,20,19,23,50,34,10,5,5,16,18,17,17,16,15,24,43,45,10,5,4,11,12
Houston Rockets,8,10,8,10,3,7,6,4,5,7,10,10,10,11,9,12,10,3,5,5,4,6,9,7,7,6,6,3,3,4,4,2,3,6,9,7,7,7,6,9,6,4,5,3,3,6,8,6,6,8,15,8,4,3,4,3,2,5,7,6,6,6,6,10,16,3,4,2,3,4,6,6,5,6,4,3,2,3,5,4,3,6,6,6,6,6,5,4,2,4,2,1,1,1,1,8,7,6,7,6,2,5,12,4,3,10,17,13,12,13,13,16,8,5,14,5,4,10,17,14,13,13,15,22,12,7,13,4,4,8,16,15,13,12,13,26,59,7,9,5,4,8,14,13,11,11,11,21,6,6,9,4,5,9,11,17,17,14,15,23,23,10,22,9,8,17,17,24,20,23,30,36,100,12,18,12,8,19,20,21,26,22,23,35,39,12,19,8,7,20,22
Indiana Pacers,4,3,5,4,7,3,2,1,2,2,22,5,4,4,3,4,6,2,2,1,2,3,4,4,4,3,2,3,2,1,2,2,1,2,3,2,3,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,2,3,2,2,3,2,5,1,2,1,1,0,1,1,4,3,3,3,3,10,2,2,1,1,2,3,3,3,4,3,3,19,10,3,2,1,4,8,9,7,7,8,13,26,3,3,3,1,3,4,3,3,3,3,5,1,2,3,1,1,3,4,5,4,4,4,7,3,2,4,2,2,3,4,4,4,4,3,8,1,3,3,1,1,3,4,5,4,4,4,12,2,2,3,1,1,3,4,4,5,4,4,4,1,2,3,1,1,3,4
Los Angeles Clippers,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,2,3,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,4,3,2,2,2,3,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,2,2,2,2,3,9,8,1,1,1,1,2,3,3,3,2,2,4,8,2,2,1,1,2,3,3,3,2,2,3,1,1,1,1,1,1,3,2,2,2,2,3,1,1,1,1,1,2,2,1,2,2,2,1,0,1,1,0,1,1,2,1,1,1,1,2,1,1,4,1,1,3,4
