,$OSR^2$,Mean Absolute Error,Root Mean Square Error,Tuning Parameters
Dataset 1 OLS,0.5473523898669429,1034.0209909240189,1357.6230666625536,
Dataset 1 Ridge,0.5515097527218857,1030.2923241492213,1351.3741092649734,{'Alpha': 750.0}
Dataset 1 Lasso,0.5646446651091053,983.6577890894845,1331.438245028359,{'Alpha': 52.07260525733545}
Dataset 1 Elastic Net,0.5646499769224953,983.5449894994472,1331.4301224988938,"{'Alpha': 52.07260525733545, 'L1 Ratio': 1.0}"
Dataset 1 Huber,0.5578114308695769,862.3983641564206,1341.846532237087,"{'alpha': 0.2222222311111111, 'epsilon': 1.000000000000001}"
Dataset 1 Linear Support Vector Machine,0.5473187429258147,1034.072635289035,1357.6735242519858,"{'C': 1000000.0, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 1 Subset 1 OLS,0.34053310993674224,1300.5726169635761,1638.6854222598204,
Dataset 1 Subset 1 Ridge,0.3512024417143742,1289.3070775705337,1625.3754498365474,{'Alpha': 750.0}
Dataset 1 Subset 1 Lasso,0.3552471417088108,1290.4833389479288,1620.3011133836571,{'Alpha': 18.398630570849253}
Dataset 1 Subset 1 Elastic Net,0.3779326972393716,1264.6232643688982,1591.5408114644276,"{'Alpha': 1.0468574306553275, 'L1 Ratio': 0.6866488450042998}"
Dataset 1 Subset 1 Huber,0.438482424745938,1106.4272712338072,1512.1008913003955,"{'alpha': 1.7777777788888889, 'epsilon': 1.1111111111111116}"
Dataset 1 Subset 1 Linear Support Vector Machine,0.340553502027683,1300.5518762977488,1638.6600862793603,"{'C': 9387816326.530613, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 1 Subset 2 OLS,0.5438091080202601,1036.8763187084505,1362.9263796682947,
Dataset 1 Subset 2 Ridge,0.5478560339393821,1033.4193703657897,1356.867568236269,{'Alpha': 750.0}
Dataset 1 Subset 2 Lasso,0.5573666657320694,989.299698263647,1342.5211952694333,{'Alpha': 59.95615812423822}
Dataset 1 Subset 2 Elastic Net,0.5573756147094331,989.1825962621629,1342.507623932182,"{'Alpha': 59.95615812423822, 'L1 Ratio': 1.0}"
Dataset 1 Subset 2 Huber,0.5520085697753074,859.7500911627676,1350.6223917055886,"{'alpha': 0.2222222311111111, 'epsilon': 1.000000000000001}"
Dataset 1 Subset 2 Linear Support Vector Machine,0.5438237364539109,1036.8905061186817,1362.9045273710467,"{'C': 1000000.0, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 2 OLS,0.5451559757012676,1019.1398517721566,1341.5296842084244,
Dataset 2 Ridge,0.5682808231989255,983.0569631289367,1306.982312467532,{'Alpha': 750.0}
Dataset 2 Lasso,0.5687570045216714,974.4555647341463,1306.2613203172325,{'Alpha': 20.69157002194364}
Dataset 2 Elastic Net,0.5689870201667986,974.155082733754,1305.9129081471597,"{'Alpha': 20.69157002194364, 'L1 Ratio': 1.0}"
Dataset 2 Huber,0.5720524700279115,840.7326097296905,1301.2606655667769,"{'alpha': 0.2222222311111111, 'epsilon': 1.000000000000001}"
Dataset 2 Linear Support Vector Machine,0.5630290415668255,989.3496393823202,1314.9078776398205,"{'C': 8163448979.591837, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 2 Subset 1 OLS,0.38281060829602187,1209.106418748462,1562.7095510760907,
Dataset 2 Subset 1 Ridge,0.41668478814578125,1171.18460502107,1519.2200774451437,{'Alpha': 750.0}
Dataset 2 Subset 1 Lasso,0.4157055628024582,1173.6895685824302,1520.4947184565583,{'Alpha': 7.451872308426422}
Dataset 2 Subset 1 Elastic Net,0.4157924826389128,1173.5752765636087,1520.3816195980949,"{'Alpha': 7.451872308426422, 'L1 Ratio': 1.0}"
Dataset 2 Subset 1 Huber,0.4325242726573624,1068.0346655786911,1498.4514806852112,"{'alpha': 0.6666666733333334, 'epsilon': 1.000000000000001}"
Dataset 2 Subset 1 Linear Support Vector Machine,0.40773621064605503,1183.6283700320491,1530.8288227169623,"{'C': 8163448979.591837, 'dual': False, 'epsilon': 0.6666666666666665, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive', 'random_state': 18}"
Dataset 2 Subset 2 OLS,0.5357546067697656,1027.6155893859254,1355.3231034218365,
Dataset 2 Subset 2 Ridge,0.5630571900435501,986.8261528187428,1314.8655255690985,{'Alpha': 750.0}
Dataset 2 Subset 2 Lasso,0.5641651661563948,976.9694254660616,1313.1973847078546,{'Alpha': 20.69157002194364}
