Time,Curr Win %,Last Attendance vs Opp,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Attendance
1999-02-05 00:00:00,1.0,14890.0,Boston Celtics,Toronto Raptors,0.0,1.0,Friday,February,17892.0
1999-02-05 00:00:00,1.0,19911.0,Utah Jazz,Chicago Bulls,0.0,1.0,Friday,February,19911.0
1999-02-06 00:00:00,1.0,18168.0,Philadelphia 76ers,Orlando Magic,0.0,2.0,Saturday,February,20143.0
1999-02-06 00:00:00,0.0,14890.0,Boston Celtics,Cleveland Cavaliers,0.0,0.0,Saturday,February,18173.0
1999-02-07 00:00:00,1.0,16284.0,Phoenix Suns,Denver Nuggets,0.0,2.0,Sunday,February,19023.0
1999-02-08 00:00:00,0.6666666666666666,11766.0,Cleveland Cavaliers,Indiana Pacers,0.0,2.0,Monday,February,17139.0
1999-02-09 00:00:00,1.0,18168.0,Philadelphia 76ers,Detroit Pistons,0.0,3.0,Tuesday,February,15871.0
1999-02-09 00:00:00,0.3333333333333333,22125.0,Chicago Bulls,Atlanta Hawks,0.0,1.0,Tuesday,February,22553.0
1999-02-09 00:00:00,0.5,18667.0,Minnesota Timberwolves,San Antonio Spurs,0.0,2.0,Tuesday,February,16422.0
1999-02-09 00:00:00,0.5,17467.0,Phoenix Suns,Sacramento Kings,0.0,1.0,Tuesday,February,18217.0
1999-02-10 00:00:00,1.0,12888.0,Portland Trail Blazers,Indiana Pacers,0.0,1.0,Wednesday,February,19980.0
1999-02-11 00:00:00,1.0,15302.0,Phoenix Suns,Utah Jazz,0.0,4.0,Thursday,February,19023.0
1999-02-11 00:00:00,0.75,18792.0,Minnesota Timberwolves,Los Angeles Lakers,0.0,3.0,Thursday,February,19006.0
1999-02-11 00:00:00,0.5,22028.0,Chicago Bulls,New York Knicks,0.0,2.0,Thursday,February,22194.0
1999-02-11 00:00:00,0.4,10487.0,Cleveland Cavaliers,San Antonio Spurs,0.0,2.0,Thursday,February,14228.0
1999-02-12 00:00:00,0.5,18168.0,Philadelphia 76ers,San Antonio Spurs,0.0,2.0,Friday,February,16892.0
1999-02-13 00:00:00,0.6,16446.0,Phoenix Suns,Los Angeles Clippers,0.0,3.0,Saturday,February,19023.0
1999-02-14 00:00:00,0.5714285714285714,21918.0,Chicago Bulls,San Antonio Spurs,0.0,2.0,Sunday,February,22386.0
1999-02-14 00:00:00,0.8,18168.0,Philadelphia 76ers,Atlanta Hawks,0.0,4.0,Sunday,February,13307.0
1999-02-15 00:00:00,0.6666666666666666,20324.0,Portland Trail Blazers,Dallas Mavericks,0.0,2.0,Monday,February,18231.0
1999-02-15 00:00:00,1.0,19363.0,Utah Jazz,Sacramento Kings,0.0,5.0,Monday,February,19911.0
1999-02-16 00:00:00,0.6666666666666666,16020.0,Cleveland Cavaliers,Orlando Magic,0.0,3.0,Tuesday,February,12918.0
1999-02-16 00:00:00,0.16666666666666666,21720.0,Chicago Bulls,Atlanta Hawks,0.0,1.0,Tuesday,February,22156.0
1999-02-16 00:00:00,0.6666666666666666,18168.0,Philadelphia 76ers,Milwaukee Bucks,0.0,3.0,Tuesday,February,10976.0
1999-02-17 00:00:00,0.7142857142857143,19599.0,Minnesota Timberwolves,Houston Rockets,0.0,4.0,Wednesday,February,18151.0
1999-02-17 00:00:00,0.75,20436.0,Portland Trail Blazers,Denver Nuggets,0.0,3.0,Wednesday,February,17726.0
1999-02-18 00:00:00,0.5714285714285714,18648.0,Cleveland Cavaliers,New York Knicks,0.0,4.0,Thursday,February,13910.0
1999-02-18 00:00:00,1.0,17634.0,Utah Jazz,Denver Nuggets,0.0,5.0,Thursday,February,19212.0
1999-02-19 00:00:00,0.8,20123.0,Portland Trail Blazers,Boston Celtics,0.0,4.0,Friday,February,18345.0
1999-02-19 00:00:00,0.5555555555555556,18422.0,Phoenix Suns,Detroit Pistons,0.0,3.0,Friday,February,19023.0
1999-02-19 00:00:00,0.3333333333333333,19335.0,Washington Wizards,Chicago Bulls,0.0,2.0,Friday,February,19220.0
1999-02-19 00:00:00,0.5,17514.0,Philadelphia 76ers,New York Knicks,0.0,1.0,Friday,February,19681.0
1999-02-20 00:00:00,0.4444444444444444,18168.0,Philadelphia 76ers,Atlanta Hawks,0.0,1.0,Saturday,February,15159.0
1999-02-20 00:00:00,0.8333333333333334,21243.0,Portland Trail Blazers,Golden State Warriors,0.0,4.0,Saturday,February,17645.0
1999-02-21 00:00:00,0.42857142857142855,19818.0,Minnesota Timberwolves,Sacramento Kings,0.0,2.0,Sunday,February,16848.0
1999-02-21 00:00:00,0.42857142857142855,12214.0,Washington Wizards,Boston Celtics,0.0,2.0,Sunday,February,20674.0
1999-02-22 00:00:00,0.5,19137.0,Cleveland Cavaliers,Philadelphia 76ers,0.0,1.0,Monday,February,13203.0
1999-02-22 00:00:00,0.4545454545454545,19944.0,Minnesota Timberwolves,San Antonio Spurs,0.0,2.0,Monday,February,15374.0
1999-02-22 00:00:00,0.6,18422.0,Phoenix Suns,Dallas Mavericks,0.0,3.0,Monday,February,18596.0
1999-02-22 00:00:00,1.0,18600.0,Utah Jazz,Los Angeles Clippers,0.0,5.0,Monday,February,19911.0
1999-02-23 00:00:00,0.6666666666666666,22067.0,Chicago Bulls,Milwaukee Bucks,0.0,3.0,Tuesday,February,22302.0
1999-02-23 00:00:00,0.375,12134.0,Washington Wizards,Miami Heat,0.0,2.0,Tuesday,February,12879.0
1999-02-24 00:00:00,0.7,14890.0,Boston Celtics,Orlando Magic,0.0,3.0,Wednesday,February,18235.0
1999-02-24 00:00:00,0.3333333333333333,18168.0,Philadelphia 76ers,Sacramento Kings,0.0,2.0,Wednesday,February,14437.0
1999-02-25 00:00:00,0.5833333333333334,21450.0,Chicago Bulls,Philadelphia 76ers,0.0,3.0,Thursday,February,22337.0
1999-02-25 00:00:00,0.7,19183.0,Cleveland Cavaliers,Indiana Pacers,0.0,4.0,Thursday,February,14253.0
1999-02-25 00:00:00,0.3333333333333333,13610.0,Washington Wizards,Sacramento Kings,0.0,2.0,Thursday,February,16813.0
1999-02-26 00:00:00,0.6363636363636364,14890.0,Boston Celtics,New York Knicks,0.0,3.0,Friday,February,18624.0
1999-02-26 00:00:00,0.9,17982.0,Utah Jazz,Dallas Mavericks,0.0,4.0,Friday,February,19911.0
1999-02-27 00:00:00,0.16666666666666666,22082.0,Chicago Bulls,Charlotte Hornets,0.0,1.0,Saturday,February,22814.0
1999-02-27 00:00:00,0.3,20674.0,Washington Wizards,Portland Trail Blazers,0.0,2.0,Saturday,February,18550.0
1999-02-28 00:00:00,0.5833333333333334,18327.0,Phoenix Suns,Golden State Warriors,0.0,3.0,Sunday,February,18587.0
1999-02-28 00:00:00,0.7777777777777778,19101.0,Minnesota Timberwolves,Portland Trail Blazers,0.0,4.0,Sunday,February,16219.0
1999-03-01 00:00:00,0.2727272727272727,16427.0,Washington Wizards,Philadelphia 76ers,0.0,1.0,Monday,March,13814.0
1999-03-01 00:00:00,0.5384615384615384,18422.0,Phoenix Suns,Los Angeles Lakers,0.0,2.0,Monday,March,19023.0
1999-03-02 00:00:00,0.4166666666666667,19346.0,Cleveland Cavaliers,Boston Celtics,0.0,1.0,Tuesday,March,12906.0
1999-03-02 00:00:00,0.8333333333333334,20033.0,Portland Trail Blazers,Utah Jazz,0.0,3.0,Tuesday,March,19980.0
1999-03-02 00:00:00,0.6153846153846154,18722.0,Minnesota Timberwolves,Golden State Warriors,0.0,2.0,Tuesday,March,14776.0
1999-03-02 00:00:00,0.6428571428571429,20928.0,Chicago Bulls,Detroit Pistons,0.0,5.0,Tuesday,March,22432.0
1999-03-03 00:00:00,0.6666666666666666,18168.0,Philadelphia 76ers,Chicago Bulls,0.0,5.0,Wednesday,March,11510.0
1999-03-03 00:00:00,0.25,20674.0,Washington Wizards,Indiana Pacers,0.0,0.0,Wednesday,March,12912.0
1999-03-04 00:00:00,0.6666666666666666,20562.0,Cleveland Cavaliers,Detroit Pistons,0.0,5.0,Thursday,March,13248.0
1999-03-05 00:00:00,0.3076923076923077,20173.0,Washington Wizards,Charlotte Hornets,0.0,1.0,Friday,March,15703.0
