SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21946,1610612752,NYK,New York Knicks,0024600001,1946-11-01,NYK @ HUS,W,0,24,,,,,,20,26.0,0.769,,,,,,,,,68,2,0
21946,1610610035,HUS,Toronto Huskies,0024600001,1946-11-01,HUS vs. NYK,L,0,25,,,,,,16,29.0,0.552,,,,,,,,,66,-2,0
21946,1610610032,PRO,Providence Steamrollers,0024600002,1946-11-02,PRO vs. BOS,W,0,21,,,,,,17,,,,,,,,,,,59,6,0
21946,1610612738,BOS,Boston Celtics,0024600002,1946-11-02,BOS @ PRO,L,0,21,,,,,,11,,,,,,,,,,,53,-6,0
21946,1610612752,NYK,New York Knicks,0024600004,1946-11-02,NYK @ CHS,L,0,16,,,,,,15,,,,,,,,,,22.0,47,-16,0
21946,1610610025,CHS,Chicago Stags,0024600004,1946-11-02,CHS vs. NYK,W,0,21,,,,,,21,,,,,,,,,,20.0,63,16,0
21946,1610610031,PIT,Pittsburgh Ironmen,0024600003,1946-11-02,PIT @ BOM,L,0,16,72.0,0.222,,,,19,,,,,,,,,,25.0,51,-5,0
21946,1610610034,BOM,St. Louis Bombers,0024600003,1946-11-02,BOM vs. PIT,W,0,20,59.0,0.339,,,,16,,,,,,,,,,21.0,56,5,0
21946,1610610028,DEF,Detroit Falcons,0024600005,1946-11-02,DEF vs. WAS,L,0,10,,,,,,13,,,,,,,,,,,33,-17,0
21946,1610610036,WAS,Washington Capitols,0024600005,1946-11-02,WAS @ DEF,W,0,18,,,,,,14,,,,,,,,,,,50,17,0
21946,1610610026,CLR,Cleveland Rebels,0024600006,1946-11-03,CLR vs. HUS,W,0,24,,,,,,23,,,,,,,,,,,71,11,0
21946,1610610035,HUS,Toronto Huskies,0024600006,1946-11-03,HUS @ CLR,L,0,21,,,,,,18,,,,,,,,,,,60,-11,0
21946,1610610031,PIT,Pittsburgh Ironmen,0024600007,1946-11-04,PIT vs. WAS,L,0,19,,,,,,18,,,,,,,,,,,56,-15,0
21946,1610610036,WAS,Washington Capitols,0024600007,1946-11-04,WAS @ PIT,W,0,22,,,,,,27,,,,,,,,,,,71,15,0
21946,1610610025,CHS,Chicago Stags,0024600008,1946-11-05,CHS @ BOS,W,0,24,,,,,,9,,,,,,,,,,,57,2,0
21946,1610612738,BOS,Boston Celtics,0024600008,1946-11-05,BOS vs. CHS,L,0,23,,,,,,9,,,,,,,,,,,55,-2,0
21946,1610610034,BOM,St. Louis Bombers,0024600009,1946-11-05,BOM @ DEF,W,0,20,,,,,,13,,,,,,,,,,,53,4,0
21946,1610610028,DEF,Detroit Falcons,0024600009,1946-11-05,DEF vs. BOM,L,0,18,,,,,,13,,,,,,,,,,,49,-4,0
21946,1610612744,PHW,Philadelphia Warriors,0024600010,1946-11-07,PHW vs. PIT,W,0,28,,,,,,25,39.0,0.641,,,,,,,,24.0,81,6,0
21946,1610610031,PIT,Pittsburgh Ironmen,0024600010,1946-11-07,PIT @ PHW,L,0,29,,,,,,17,28.0,0.607,,,,,,,,35.0,75,-6,0
21946,1610610034,BOM,St. Louis Bombers,0024600012,1946-11-07,BOM vs. NYK,L,0,25,104.0,0.24,,,,13,20.0,0.65,,,,,,,,21.0,63,-5,0
21946,1610612752,NYK,New York Knicks,0024600012,1946-11-07,NYK @ BOM,W,0,26,89.0,0.292,,,,16,23.0,0.696,,,,,,,,16.0,68,5,0
21946,1610610025,CHS,Chicago Stags,0024600011,1946-11-07,CHS @ PRO,L,0,27,,,,,,11,,,,,,,,,,14.0,65,-8,0
21946,1610610032,PRO,Providence Steamrollers,0024600011,1946-11-07,PRO vs. CHS,W,0,31,,,,,,11,,,,,,,,,,20.0,73,8,0
21946,1610610035,HUS,Toronto Huskies,0024600013,1946-11-08,HUS vs. DEF,W,0,31,,,,,,11,26.0,0.423,,,,,,,,21.0,73,2,0
21946,1610610028,DEF,Detroit Falcons,0024600013,1946-11-08,DEF @ HUS,L,0,28,,,,,,15,23.0,0.652,,,,,,,,15.0,71,-2,0
21946,1610610032,PRO,Providence Steamrollers,0024600015,1946-11-09,PRO vs. PIT,W,0,22,,,,,,32,,,,,,,,,,,76,10,0
21946,1610610031,PIT,Pittsburgh Ironmen,0024600015,1946-11-09,PIT @ PRO,L,0,25,,,,,,16,,,,,,,,,,,66,-10,0
21946,1610610025,CHS,Chicago Stags,0024600016,1946-11-09,CHS vs. HUS,W,0,22,,,,,,18,,,,,,,,,,22.0,64,10,0
21946,1610610035,HUS,Toronto Huskies,0024600016,1946-11-09,HUS @ CHS,L,0,17,,,,,,16,,,,,,,,,,23.0,54,-10,0
21946,1610612738,BOS,Boston Celtics,0024600017,1946-11-09,BOS @ DEF,L,0,15,,,,,,16,,,,,,,,,,,46,-23,0
21946,1610610028,DEF,Detroit Falcons,0024600017,1946-11-09,DEF vs. BOS,W,0,26,,,,,,17,,,,,,,,,,,69,23,0
21946,1610610034,BOM,St. Louis Bombers,0024600014,1946-11-09,BOM vs. WAS,W,0,28,,,,,,14,,,,,,,,,,36.0,70,1,0
21946,1610610036,WAS,Washington Capitols,0024600014,1946-11-09,WAS @ BOM,L,0,19,,,,,,31,,,,,,,,,,26.0,69,-1,0
21946,1610610026,CLR,Cleveland Rebels,0024600018,1946-11-10,CLR vs. WAS,W,0,42,,,,,,8,,,,,,,,,,,92,24,0
21946,1610610036,WAS,Washington Capitols,0024600018,1946-11-10,WAS @ CLR,L,0,24,,,,,,20,,,,,,,,,,,68,-24,0
21946,1610612752,NYK,New York Knicks,0024600020,1946-11-11,NYK vs. CHS,L,0,26,,,,,,16,,,,,,,,,,25.0,68,-10,0
21946,1610610025,CHS,Chicago Stags,0024600020,1946-11-11,CHS @ NYK,W,0,30,,,,,,18,,,,,,,,,,21.0,78,10,0
21946,1610610031,PIT,Pittsburgh Ironmen,0024600019,1946-11-11,PIT vs. PRO,W,0,29,,,,,,26,35.0,0.743,,,,,,,,32.0,84,13,0
21946,1610610032,PRO,Providence Steamrollers,0024600019,1946-11-11,PRO @ PIT,L,0,21,,,,,,29,42.0,0.69,,,,,,,,28.0,71,-13,0
